# sha1,mapper,basic_or_none,font  basic+e=VG8020 basic+j=HB-10 none+e=C-BIOS none+j=C-BIOS JP
9c43106dba3ae2829e9a11dffa9d000ed6d6454c,NONE,none,e
9c886fff02779267041efe45dadefc5fd7f4b9a2,RTYPE,none,j
9d67fab55b85f4ac4f5924323a70020eb8589057,NONE,none,e
9d789166e3caf28e4742fe933d962e99618c633d,NONE,none,e
9db72bb78792595a12499c821048504dc96ef848,NONE,none,e
9eaad185efc8e224368d1db4949eb9659c26fb2c,NONE,none,e
9ed3ab6d893632b9246e91b412cd5db519e7586b,NONE,none,e
9fbbe400dbaf186aeba42e170d9424b032412c42,NONE,none,e
a059f6fb5ffd3762010b9743518833499fe2205f,PAGE2,none,e
a3de07612da7986387a4f5c41bbbc7e3b244e077,ASCII16SRAM2,none,e
a3f4e2e4934074925d775afe30ac72f150ede543,NONE,none,e
a49bcf7a5a1115815f730782a1fd7d1c79ce29e7,NONE,none,e
a553c3f204c105c23b227a1e5aeb290671ccdbeb,ASCII8,none,e
a5b02ea4a1530f2b96f0f4f4e2049f0de4a31e5a,NONE,none,e
a7a23dc01314e88381eee88b4878b39931ab4818,NONE,none,e
aa78fc9bcd2343f84cf790310a768ee47f90c841,NONE,none,e
aad42ba4289b33d8eed225d42cea930b7fc5c228,NONE,none,e
ab0177624d46dd77ab4f50ffcb983c3ba88223f4,NONE,none,e
ab30cdeaacbdf14e6366d43d881338178fc665cb,KONAMI_SCC,none,e
ace202e87337fbc54fea21e22c0b3af0abe6f4ae,NONE,none,e
adb9411124bbb98996c0e494e2ad26840f62548d,NONE,none,e
ade0c5ba5574f8114d7079050317099b4519e88f,NONE,none,e
affa3c5cd8db79a1450ad8a7f405a425b251653d,NONE,none,e
b003a5a12920facb30aa3e526a71fb557c669309,NONE,none,e
b01434c6bc67efefe4dce17d8528386661db92b2,NONE,none,e
b034764e6a8978db60b1d652917f5e24a66a7925,NONE,none,e
b1248f7b9d4e16a894555c51c533d3fd9a90802e,NONE,none,e
b17d9bea0eb16a1aa2d0ccbd7c9488da9f57698e,NONE,none,e
b1cce60ef61c058f5e42ef7ac635018d1a431168,NONE,none,e
b262aedc71b445303f84efe5e865cbb71fd7d952,NONE,none,e
b4433a3975c57dd440d6bf12dbd28b2ac1b90ef4,NONE,none,e
b5b28f53b16d43742d9d7daf5ee7dcf74b80e6c8,PAGE2,none,e
b677a861b67e8763a11d5dcf52416b42493ade57,NONE,none,e
b6d3649a6647fa9f6bd61efc317485a20901128f,NONE,none,e
b7068e2aab02072852ca249596b7550ac632c4c2,NONE,none,e
b8e30d604d319d511cbfbc61e5d8c38fbb9c5a33,NONE,none,e
b9faa03449949cb1b199095561e0f07cca2c8e0b,NONE,none,e
baf2e9c69252fd9b350b488d89c71887b9d05eec,NONE,none,e
bcdb4dae303dfe5234f372d70a5e0271d3202c36,NONE,none,e
befebc916bfdb5e8057040f0ae82b5517a7750db,NONE,none,e
bfe8046f8ccc6d6016d7752c04f0654420ef81e7,KONAMI,basic,j
c1bb307a570ab833e3bfcc4a58a4f4e12dc1df0f,NONE,none,e
c1d83c559e1e6a6da961eafa55aab105681c634c,NONE,none,e
c212b11fda13f83dafed688c54d098e7e47ab225,NONE,none,e
c3efedda7ab947a06d9345f7b8261076fa7ceeef,NONE,none,e
c53b3f2c00f31683914f7452f3f4d94ae2929c0d,NONE,none,e
c5be2ecfd16094d32e68f4e014c58d7311437c5d,NONE,none,e
c5edc3b289dea120fe60ad38596a51c2e28838aa,NONE,none,e
c619d0cc997a5ec8fe62d756dc3d390c450baa21,NONE,none,e
c63db26660da96af56f8a7d3ea18544b9ae5a37c,NONE,none,e
c7a2c5baee6a9f0e1c6ee7d76944c0ab1886796c,NONE,none,e
c9483f441959fc7b1eb15a91cdd372eba9cb930a,NONE,none,e
cb06dea7b025745f9d2b87dcf03ded615287ead3,NONE,none,e
cb754aed85b3e97a7d3c5894310df7ca18f89f41,NONE,none,e
cc1744c6c513d6409a142b4fb42fbe70a95d9b7f,NONE,none,e
ccbe07648f72eeedcde3fc8feb665124fcbf97ad,NONE,none,e
cdeb0ed8adecaaadb78d5a5364fd603238591685,NONE,none,e
cef16eb95502ba6ab2265fcafcedde470a101541,NONE,none,e
cfd872d005b7bd4cdd6e06c4c0162191f0b0415d,KONAMI_SCC,basic,j
d08b5ec2a98bd40e8b97f4c5152db54a455ae493,NONE,none,e
d0cfc35f22b150a1cb10decae4841dfe63b78251,NONE,none,e
d1001f93c87ff7fb389e418e33bf7bc81bdbb65f,NONE,none,e
d1ee40b69f96b241b80e83ed398691d74effa8fb,NONE,none,e
d1fbdbdf2e830139584d7dc796806aa3327720dd,ASCII16,none,e
d2bfd036c8520091375f7d0b3bb0c810e04dd9bf,KONAMI_SCC,none,e
d37ab4bd2bfddd8c97476cbe7347ae581a6f2972,NONE,none,e
d3a71b31810614c6762a9bcaafda00a6def043b8,NONE,none,e
d3af963e2529662eae63f04a2530454685a1989f,NONE,none,e
d41676fde0a3047792f93c4a41509b8749e55e74,NONE,none,e
d4cea8c815f3eeabe0c6a1c845f902ec4318bf6b,NONE,none,e
d4e5b98ce23573669fb44447582d656e390791c0,NONE,none,e
d552319a19814494e3016de4b8f010e8f7b97e02,NONE,none,e
d5528825c7eea2cfeadd64db1dbdbe1344478fc6,NONE,none,e
d63e20369f98487767810a0c57603bef6a2a07e5,KONAMI_SCC,none,e
d6720845928ee848cfa88a86accb067397685f02,NONE,none,e
d67be6d7d56d7229418f4e122f2ec27990db7d19,NONE,none,e
d6aad8b5f84fe1dcd3f9018b81aa0ff3e30e4886,NONE,none,e
d7109cf20a22558f923c833ff0b4e2311340acb1,ASCII16,none,e
d9307bfdaab1312d25e38af7c0d3a7671a9f716b,NONE,none,e
d956167e234f60ad916120437120f86fc8c3c321,NONE,none,e
d99eebded5db5fce1e072d08e642c0909bc7efdd,NONE,none,e
db2635ef7e3f8589518dca65f2e3b515edc5372d,NONE,none,e
dcc3a67732aa01c4f2ee8d1ad886444a4dbafe06,NONE,none,e
dd94a1d07259cc969c3d79129e92606f9b6d76f3,NONE,none,e
